Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,330754,"Fog spraynozzle brass 2"" M BSP - L=1350mm",bss2np,,169.43
RUBAFLEX B.V.,330755,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 50A,#60000983,,142.43
RUBAFLEX B.V.,330756,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 50A,#60000984,,142.43
RUBAFLEX B.V.,330757,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 65A,#60000985,,142.43
RUBAFLEX B.V.,330758,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 65A,#60000986,,142.43
RUBAFLEX B.V.,330759,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 75A,#60000987,,174.08
RUBAFLEX B.V.,330760,Nozzle brass MT 50mm BSP Applicator L=1350 Storz 75A,#60000988,,174.08
RUBAFLEX B.V.,330761,Nozzle brass MT 50mm BSP Applicator L=1350 USA 40A,#60000989,,142.43
RUBAFLEX B.V.,330762,Nozzle brassMT 50mm BSP Applicator L=1350 USA 40A,#60000990,,142.43
RUBAFLEX B.V.,330763,Nozzle brass MT 50mm BSP Applicator L=1350 USA 40A,#60000991,,142.43
RUBAFLEX B.V.,330767,Nozzle brass MT 50mm BSP Applicator L=1350 USA 65A,#60000992,,142.43
RUBAFLEX B.V.,330768,Nozzle brass MT 50mm BSP Applicator L=1350 USA 65A,#60000993,,142.43
RUBAFLEX B.V.,330769,Nozzle brass MT 50mm BSP Applicator L=1350 USA 65A,#60000994,,142.43
RUBAFLEX B.V.,330771,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 40A,#60000966,,142.43
RUBAFLEX B.V.,330772,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 40A,#60000967,,142.43
RUBAFLEX B.V.,330773,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 40A,#60000968,,142.43
RUBAFLEX B.V.,330774,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 50A,#60000969,,142.43
RUBAFLEX B.V.,330775,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 50A,#60000970,,142.43
RUBAFLEX B.V.,330776,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 50A,#60000971,,142.43
RUBAFLEX B.V.,330777,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 65A,#60000972,,142.43
RUBAFLEX B.V.,330778,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 65A,#60000973,,142.43
RUBAFLEX B.V.,330779,Nozzle brass MT 50mm BSP Applicator L=1350 Machino 65A,#60000974,,142.43
RUBAFLEX B.V.,330791,Spanner for coupling Nakajima lug 61mm,sle.nak61,,5
RUBAFLEX B.V.,330792,Spanner for coupling Nakajima lug 72mm,sle.nak72,,8.75
RUBAFLEX B.V.,330793,Spanner for coupling Nakajima lug 91mm,sle.nak91,,11
RUBAFLEX B.V.,330795,Spanner for coupling USA pin lug 38mm,sle.usa1,,5.8
RUBAFLEX B.V.,330796,Spanner for coupling USA pin lug 63mm,sle.usa2,,9.65
RUBAFLEX B.V.,330797,Spanner for coupling type Nor 1 - 2 - 3,sle.nor,,16.34
RUBAFLEX B.V.,330801,Nakajima jet nozzle brass Full bore - lug 61,nak61noz,,28.67
RUBAFLEX B.V.,330802,Fog nozzle Nakajima brass lug 72mm - 3 position,bss2nak,,45.55
RUBAFLEX B.V.,330803,Nakajima jet nozzle brass Full bore - lug 72,nak72noz,,43.2
RUBAFLEX B.V.,330804,Nakajima jet nozzle brass Full bore - lug 91,nak91noz,,45.5
RUBAFLEX B.V.,330806,"Fog nozzle USA brass 1.5"" female - full bore",bss1.5usa-1,,20.5
RUBAFLEX B.V.,330808,"Fog nozzle USA brass 2.5"" female - full bore",bss2.5usa-1,,41.67
RUBAFLEX B.V.,330809,"Fog nozzle brass Machino female 1.5"", 3 position",bss1.5mas,,36.93
RUBAFLEX B.V.,330810,"Fog nozzle Machino brass 2"" female - full bore",bss2mas-1,,33.5
RUBAFLEX B.V.,330811,"Jet nozzle Machino brass 2.5"" female - full bore",bss2.5mas-1,,38.35
RUBAFLEX B.V.,330812,Water mist lance set for container SS incl. hammer steel nickel plated,wml,,195.55
RUBAFLEX B.V.,330813,Water mist lance set for container SS incl. hammer steel nickel plated,wml,,195.55
